% CNT-91 measurement	27/08/2019	08:20:30	Periode [s]0	
0.000000	133185000.000000
0.000010	133244000.000000
0.000020	133278000.000000
0.000030	133363000.000000
0.000040	133303000.000000
0.000050	133327000.000000
0.000060	133366000.000000
0.000070	133192000.000000
0.000080	133254000.000000
0.000090	133318000.000000
0.000100	133121000.000000
0.000110	133237000.000000
0.000120	133192000.000000
0.000130	133151000.000000
0.000140	133161000.000000
0.000150	133254000.000000
0.000160	133256000.000000
0.000170	133213000.000000
0.000180	133224000.000000
0.000190	133162000.000000
0.000200	133255000.000000
0.000210	133185000.000000
0.000220	133070000.000000
0.000230	133237000.000000
0.000240	133256000.000000
0.000250	133212000.000000
0.000260	133229000.000000
0.000270	133237000.000000
0.000280	133231000.000000
0.000290	133232000.000000
0.000300	133140000.000000
0.000310	133188000.000000
0.000320	133309000.000000
0.000330	133287000.000000
0.000340	133173000.000000
0.000350	133197000.000000
0.000360	133328000.000000
0.000370	133371000.000000
0.000380	133412000.000000
0.000390	133363000.000000
0.000400	133275000.000000
0.000410	133150000.000000
0.000420	133199000.000000
0.000430	133239000.000000
0.000440	133190000.000000
0.000450	133239000.000000
0.000460	133315000.000000
0.000470	133245000.000000
0.000480	133345000.000000
0.000490	133216000.000000
0.000500	133267000.000000
0.000510	133263000.000000
0.000520	133302000.000000
0.000530	133241000.000000
0.000540	133341000.000000
0.000550	133249000.000000
0.000560	133248000.000000
0.000570	133199000.000000
0.000580	133316000.000000
0.000590	133309000.000000
0.000600	133306000.000000
0.000610	133219000.000000
0.000620	133154000.000000
0.000630	133257000.000000
0.000640	133211000.000000
0.000650	133223000.000000
0.000660	133276000.000000
0.000670	133300000.000000
0.000680	133296000.000000
0.000690	133275000.000000
0.000700	133095000.000000
0.000710	133294000.000000
0.000720	133381000.000000
0.000730	133208000.000000
0.000740	133211000.000000
0.000750	133194000.000000
0.000760	133193000.000000
0.000770	133214000.000000
0.000780	133230000.000000
0.000790	133160000.000000
0.000800	133202000.000000
0.000810	133268000.000000
0.000820	133192000.000000
0.000830	133142000.000000
0.000840	133189000.000000
0.000850	133371000.000000
0.000860	133291000.000000
0.000870	133167000.000000
0.000880	133275000.000000
0.000890	133239000.000000
0.000900	133152000.000000
0.000910	133132000.000000
0.000920	133229000.000000
0.000930	133190000.000000
0.000940	133240000.000000
0.000950	133146000.000000
0.000960	133168000.000000
0.000970	133139000.000000
0.000980	133229000.000000
0.000990	133203000.000000
0.001000	133187000.000000
0.001010	133300000.000000
0.001020	133201000.000000
0.001030	133158000.000000
0.001040	133209000.000000
0.001050	133270000.000000
0.001060	133181000.000000
0.001070	133283000.000000
0.001080	133174000.000000
0.001090	133061000.000000
0.001100	133164000.000000
0.001110	133251000.000000
0.001120	133303000.000000
0.001130	133285000.000000
0.001140	133236000.000000
0.001150	133301000.000000
0.001160	133353000.000000
0.001170	133301000.000000
0.001180	133149000.000000
0.001190	133229000.000000
0.001200	133219000.000000
0.001210	133180000.000000
0.001220	133221000.000000
0.001230	133226000.000000
0.001240	133239000.000000
0.001250	133275000.000000
0.001260	133263000.000000
0.001270	133341000.000000
0.001280	133248000.000000
0.001290	133296000.000000
0.001300	133326000.000000
0.001310	133255000.000000
0.001320	133384000.000000
0.001330	133354000.000000
0.001340	133328000.000000
0.001350	133242000.000000
0.001360	133161000.000000
0.001370	133317000.000000
0.001380	133405000.000000
0.001390	133385000.000000
0.001400	133308000.000000
0.001410	133225000.000000
0.001420	133215000.000000
0.001430	133213000.000000
0.001440	133211000.000000
0.001450	133295000.000000
0.001460	133245000.000000
0.001470	133216000.000000
0.001480	133252000.000000
0.001490	133245000.000000
0.001500	133204000.000000
0.001510	133290000.000000
0.001520	133360000.000000
0.001530	133328000.000000
0.001540	133272000.000000
0.001550	133209000.000000
0.001560	133166000.000000
0.001570	133182000.000000
0.001580	133279000.000000
0.001590	133219000.000000
0.001600	133232000.000000
0.001610	133199000.000000
0.001620	133313000.000000
0.001630	133248000.000000
0.001640	133180000.000000
0.001650	133280000.000000
0.001660	133287000.000000
0.001670	133345000.000000
0.001680	133171000.000000
0.001690	133133000.000000
0.001700	133194000.000000
0.001710	133194000.000000
0.001720	133197000.000000
0.001730	133210000.000000
0.001740	133235000.000000
0.001750	133156000.000000
0.001760	133189000.000000
0.001770	133214000.000000
0.001780	133203000.000000
0.001790	133221000.000000
0.001800	133241000.000000
0.001810	133227000.000000
0.001820	133228000.000000
0.001830	133346000.000000
0.001840	133328000.000000
0.001850	133263000.000000
0.001860	133213000.000000
0.001870	133261000.000000
0.001880	133249000.000000
0.001890	133205000.000000
0.001900	133208000.000000
0.001910	133154000.000000
0.001920	133313000.000000
0.001930	133392000.000000
0.001940	133238000.000000
0.001950	133183000.000000
0.001960	133205000.000000
0.001970	133246000.000000
0.001980	133314000.000000
0.001990	133250000.000000
0.002000	133301000.000000
0.002010	133251000.000000
0.002020	133201000.000000
0.002030	133233000.000000
0.002040	133247000.000000
0.002050	133273000.000000
0.002060	133256000.000000
0.002070	133184000.000000
0.002080	133248000.000000
0.002090	133194000.000000
0.002100	133170000.000000
0.002110	133133000.000000
0.002120	133128000.000000
0.002130	133103000.000000
0.002140	133238000.000000
0.002150	133175000.000000
0.002160	133177000.000000
0.002170	133221000.000000
0.002180	133270000.000000
0.002190	133218000.000000
0.002200	133196000.000000
0.002210	133173000.000000
0.002220	133152000.000000
0.002230	133166000.000000
0.002240	133113000.000000
0.002250	133235000.000000
0.002260	133254000.000000
0.002270	133186000.000000
0.002280	133209000.000000
0.002290	133264000.000000
